Feature,Label,Importance
HW1,Child age in months (measured),0.4208121123009207
HW2,Child weight kg,0.30086486290244885
HW3,Child height cm,0.22857043671655602
V438,Mother height cm,0.006743091230950187
V445,Mother BMI,0.006424301651398747
V191,Wealth index score,0.004823957659363168
V221,Marriage to first birth interval,0.003877975580069529
V133,Mother education years,0.0035994621099876807
M7,Duration of breastfeeding,0.0034031749158301683
B11,Preceding birth interval,0.003265377335570369
B1,Month of birth,0.002305100446489988
V136,Household size,0.002035706074440184
V426,Currently breastfeeding,0.00189287338304764
V115,Time to water source,0.0018514509124692732
V012,Mother age,0.0017641340646978828
V137,Children under 5 in household,0.0015607126688700135
S828,Water source,0.0011160060667615762
S829,Toilet facility type,0.001081172170216774
M8,Age of child at weaning,0.0009467624240024275
BORD,Birth order,0.0008751069542923162
V218,Living children,0.0008216666333550845
S831,Cooking fuel,0.0006420851515760337
S830,Electricity,0.00042387537286909036
V208,Births in last 5 years,0.00029859527381617494
